Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Path,md5sum,Before_Patch_Isolation,Before_Patch_DT,Before_Patch_OD,After_Patch_Isolation,After_Patch_DT,After_Patch_OD
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,brittle,Tracker/tests/test_event.py::TestEvent::test_state_change,,BT-Tracker/ipflakies_result/d94526b0/patch/test_event_patch_91e72946.patch,df847511e7bdb42f86dff58a3e8c44fb,failed,passed,passed,passed,passed,passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,brittle,tests/test_loading.py::test_loading_failure,,Breathe/ipflakies_result/55d0ab3c/patch/test_loading_patch_1dd2b94c.patch,e4344cfd1cbfc618c23cbaeee8a4e37c,failed,passed,passed,passed,passed,failed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading_failure,victim,tests/test_merger.py::test_core_commands,tests/test_loading.py::test_clear,Breathe/ipflakies_result/4170278e/patch/test_loading_patch_6711ce75.patch,28f8e28bf478cf45bef19f686e8130f0,passed,passed,passed,Was_not_OD,Was_not_OD,Was_not_OD
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_reloading,brittle,tests/test_loading.py::test_loading_failure,,Breathe/ipflakies_result/2ec854e9/patch/test_loading_patch_1dd2b94c.patch,0a5f3481504632cc6b531ec282376623,failed,passed,passed,passed,passed,failed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_context_commands,brittle,tests/test_merger.py::test_core_commands,,Breathe/ipflakies_result/a343ba34/patch/test_merger_patch_0cac14c1.patch,7743be32b572efaf378a277d6570f114,failed,passed,passed,passed,passed,passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_core_commands,victim,tests/test_command_context.py::test_manual_context,tests/test_command_context.py::test_manual_context_noccr,Breathe/ipflakies_result/8f0372f0/patch/test_merger_patch_e84d29f7.patch,c57ad95c4b5fb9ad2ea82e2e1685301a,passed,passed,failed,failed,passed,passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_invalid,brittle,tests/test_command_context.py::test_manual_context,,Breathe/ipflakies_result/b5d99e0c/patch/test_merger_patch_80641bc9.patch,5d363a1333ff63b3e437b9bff70e5471,failed,passed,passed,passed,passed,failed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_noccr_commands,brittle,tests/test_merger.py::test_global_extras,,Breathe/ipflakies_result/a3dc25d2/patch/test_merger_patch_cd15fbd5.patch,be6e2ac45e60cea026ddbb19d4222d1d,failed,passed,passed,passed,passed,passed
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],victim,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],Flask-JWT-Router/ipflakies_result/198fd21d/patch/test_routing_patch_e9854ebb.patch,8f01ec4fabd1ef731ae3188a0f93bfe3,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],victim,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],Flask-JWT-Router/ipflakies_result/198fd21d/patch/test_routing_patch_7ef6bafb.patch,bbffed862f088239755f035809f96f9e,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
