Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Path,md5sum,Before_Patch_Isolation,Before_Patch_DT,Before_Patch_OD,After_Patch_Isolation,After_Patch_DT,After_Patch_OD
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,brittle,Tracker/tests/test_event.py::TestEvent::test_state_change,,BT-Tracker/ipflakies_result/d94526b0/patch/test_event_patch_91e72946.patch,df847511e7bdb42f86dff58a3e8c44fb,failed,passed,passed,passed,passed,passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,brittle,tests/test_loading.py::test_loading_failure,,Breathe/ipflakies_result/55d0ab3c/patch/test_loading_patch_1dd2b94c.patch,e4344cfd1cbfc618c23cbaeee8a4e37c,failed,passed,passed,passed,passed,failed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading_failure,victim,tests/test_merger.py::test_core_commands,tests/test_loading.py::test_clear,Breathe/ipflakies_result/4170278e/patch/test_loading_patch_6711ce75.patch,28f8e28bf478cf45bef19f686e8130f0,passed,passed,passed,Was_not_OD,Was_not_OD,Was_not_OD
atlasclient,https://github.com/jpoullet2000/atlasclient,02b3e7d9a6596d1123fc22b6bfed08d60105d19e,tests/test_models.py::TestDiscoveryREST::test_search_attribute_get,victim,tests/test_models.py::TestDiscoveryREST::test_search_basic_get,tests/test_models.py::TestEntityREST::test_entity_post,atlasclient/ipflakies_result/6443f690/patch/test_models_patch_a6f47ca2.patch,9b2ecfd4182f9593ad94fff11e133f6e,passed,passed,failed,passed,passed,failed
autoyaml,https://github.com/martyni/autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,tests/autoyaml_test.py::TestAutoyamlMethods::test_b_decrypt_config,brittle,tests/autoyaml_test.py::TestAutoyamlMethods::test_a_encrypt_config,,autoyaml/ipflakies_result/7f5cbccb/patch/autoyaml_test_patch_13ab0dbb.patch,a16036924b8d45717e9658491f30f0e5,failed,passed,passed,passed,passed,passed
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_input_type,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,3a33dc0fafb6f36be89873d451b784c3,passed,passed,failed,passed,passed,passed
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_dimension,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,42afa949a40ef306e0fefe34343deb56,passed,passed,failed,passed,passed,passed
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,devtracker/test_devtracker.py::test_current_status,brittle,devtracker/test_devtracker.py::test_full_report,,devtracker/ipflakies_result/e74337d2/patch/test_devtracker_patch_d319336d.patch,3efad9afb9b0ee4116287c7e8fe299df,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
krllint,https://github.com/d4nuu8/krllint,2f9376cdae14c201364d9c31b4c19a8ff2f708d2,tests/test_trailing_white_space_rule.py::TrailingWhiteSpaceTestCase::test_rule_without_fix,victim,tests/test_lower_or_mixed_case_keyword.py::LowerOrMixedCaseKeywordTestCase::test_rule_without_fix,tests/test_extraneous_whitespace.py::ExtraneousWhiteSpaceTestCase::test_rule_with_fix,krllint/ipflakies_result/e99ab5fb/patch/test_trailing_white_space_rule_patch_90674909.patch,5520d1c0302e4865e92fe9d688a31812,passed,passed,failed,passed,passed,passed
centreon-sdk-python,https://github.com/guillaumewatteeux/centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_hosts.py::TestHosts::test_hosts_list,brittle,tests/test_command.py::TestConnect::test_connection,,centreon-sdk-python/ipflakies_result/845a1b21/patch/test_hosts_patch_16d25aa8.patch,2c83d45ba2ed67a1029264ada0e60342,failed,passed,passed,passed,passed,passed
